Sentence,Metric,Arabic
1,BLEU,0.1778279410038923
2,BLEU,0.06505161691581002
3,BLEU,0.25712376641410833
4,BLEU,0.26765226160005684
5,BLEU,0.02837610870266222
6,BLEU,0.5420662441541858
7,BLEU,0.12740810460323607
8,BLEU,0.30094298890378757
9,BLEU,0.24238924298411776
10,BLEU,0.47285865296925694
11,BLEU,0.32246434855195377
12,BLEU,0.31804102891545594
13,BLEU,0.23427084593391584
14,BLEU,0.25168466362123165
15,BLEU,0.24843879981119663
16,BLEU,0.4698259213361607
17,BLEU,0.5132573042461719
18,BLEU,0.22586836723768164
19,BLEU,0.455542885231521
20,BLEU,0.8921616972156079
21,BLEU,0.1405361706875674
22,BLEU,0.30752616970214336
23,BLEU,0.3939012854872954
24,BLEU,0.8091067115702212
25,BLEU,0.2187405715612322
26,BLEU,0.2723021927612964
27,BLEU,0.1009155424789609
28,BLEU,0.5202556880807584
29,BLEU,0.3497802483838551
30,BLEU,0.3741569352955005
31,BLEU,0.2548211536628816
32,BLEU,0.3239304721384209
33,BLEU,0.27375136227880426
34,BLEU,0.41965751733385753
35,BLEU,0.11791940539925579
36,BLEU,0.15326859947928292
37,BLEU,0.304255570313719
38,BLEU,0.3936164320058255
39,BLEU,0.05561551939603883
40,BLEU,0.2436027682489906
41,BLEU,0.00956240657444202
42,BLEU,0.21859568108136287
43,BLEU,0.46642585740037545
44,BLEU,0.043748114312246456
45,BLEU,0.07786777655685517
46,BLEU,0.3163156681145601
47,BLEU,0.4680902692631884
48,BLEU,0.25633991942273593
49,BLEU,0.4306165652033611
50,BLEU,0.06097115995523503
51,BLEU,0.2612370338251831
52,BLEU,0.2402352909687615
53,BLEU,0.16438830920819986
54,BLEU,0.16576590422650678
55,BLEU,0.4608723499400595
56,BLEU,0.3765419853963743
57,BLEU,0.030934588294313718
58,BLEU,0.31549091961368375
59,BLEU,0.17923344640485428
60,BLEU,0.36897452716418855
61,BLEU,0.32744406712674373
62,BLEU,0.28008294138571455
63,BLEU,0.5191731458068687
64,BLEU,0.6358729844307163
65,BLEU,0.37586103138191135
66,BLEU,0.4003875119371494
67,BLEU,0.359521456444091
68,BLEU,0.020479781309625557
69,BLEU,0.367751490739066
70,BLEU,0.14541847255756132
71,BLEU,0.19260068177009987
72,BLEU,0.039281465090051315
73,BLEU,0.3297891327043528
74,BLEU,0.29665144250727826
75,BLEU,0.10673194868330345
76,BLEU,0.7259795291154771
77,BLEU,0.31525136331022807
78,BLEU,0.17224082693643183
79,BLEU,0.6100280831800348
80,BLEU,0.19831089109570454
81,BLEU,0.22536453058221606
82,BLEU,0.19984607356962125
83,BLEU,0.043748114312246456
84,BLEU,0.3387221584170724
85,BLEU,0.8296066547537364
86,BLEU,0.26002393769559434
87,BLEU,0.3849742634318482
88,BLEU,0.3019237003182972
89,BLEU,0.18362020424206807
90,BLEU,0.2485941076072646
91,BLEU,0.7182021234100551
92,BLEU,0.4646232199104102
93,BLEU,0.3850322886878713
94,BLEU,0.33404826723346426
95,BLEU,0.13598345546333285
96,BLEU,0.24111227980147207
97,BLEU,0.11362193664674995
98,BLEU,0.6540585844910979
99,BLEU,0.33644253392320406
100,BLEU,0.2422254558428369
101,BLEU,0.23940841098703528
102,BLEU,0.5363842335479198
103,BLEU,0.31744430345967667
104,BLEU,0.10173978273092252
105,BLEU,0.21305413619585087
106,BLEU,0.251696695878184
107,BLEU,0.3223991481175862
108,BLEU,0.47973113150636193
109,BLEU,0.17694975149532557
110,BLEU,0.08881695336060574
111,BLEU,0.26583775521863623
112,BLEU,0.4048559940274661
113,BLEU,0.40760335817792565
114,BLEU,0.08929994514871473
115,BLEU,0.3155984539112945
116,BLEU,0.09578464408619825
117,BLEU,0.033241378434410024
118,BLEU,0.4383794346185184
119,BLEU,0.4216890913810254
120,BLEU,0.4822216702017888
121,BLEU,0.47122363210116464
122,BLEU,0.41247940778259484
123,BLEU,0.08808424865565329
124,BLEU,0.2170270915930465
125,BLEU,0.43728432476709583
126,BLEU,0.06284363505733942
127,BLEU,0.19474706229960292
128,BLEU,0.3555952846666092
129,BLEU,0.2140909265975804
130,BLEU,0.21536724200522805
131,BLEU,0.12606027102980968
132,BLEU,0.0887067909105404
133,BLEU,0.2209327730887017
134,BLEU,0.02370108348009948
135,BLEU,0.08633400213704504
136,BLEU,0.23891455818410617
137,BLEU,0.7625416672892991
138,BLEU,0.3624814989774616
139,BLEU,0.33232624196912636
140,BLEU,0.4023017294750957
141,BLEU,0.23464360250639907
142,BLEU,0.305178239754138
143,BLEU,0.057219818123137735
144,BLEU,0.30990193767973184
145,BLEU,0.12206664641673219
146,BLEU,0.2179301929852717
147,BLEU,0.20965519724628373
148,BLEU,0.19850842371858785
149,BLEU,0.2777235940472651
150,BLEU,0.36315073824173283
151,BLEU,0.6444280974574026
152,BLEU,0.4390960897971484
153,BLEU,0.2792512967499085
154,BLEU,0.631043622132987
155,BLEU,0.4151543934447201
156,BLEU,0.48306406337756996
157,BLEU,0.37662727624690784
158,BLEU,0.6305914424660908
159,BLEU,0.3469066722466331
160,BLEU,0.16361341812756208
161,BLEU,0.33443483748682273
162,BLEU,0.47538527325677404
163,BLEU,0.41190392807058446
164,BLEU,0.24866934650061864
165,BLEU,0.3752605889902678
166,BLEU,0.022023814946586635
167,BLEU,0.3189284483742329
168,BLEU,0.37728899413198885
169,BLEU,0.14455493909089934
170,BLEU,0.07137595591320015
171,BLEU,0.017578936267827475
172,BLEU,0.42327940377776196
173,BLEU,0.2829559628326351
174,BLEU,0.5682854869630479
175,BLEU,0.21016724800696487
176,BLEU,0.48375598499633526
177,BLEU,0.110480069380259
178,BLEU,0.149613449434173
179,BLEU,0.19163876027381405
180,BLEU,0.6979560952975742
181,BLEU,0.169135270874178
182,BLEU,0.3154202562418556
183,BLEU,0.1775979780529378
184,BLEU,0.0925159978069645
185,BLEU,0.31688916239214343
186,BLEU,0.7073395735740273
187,BLEU,0.5374512308135861
188,BLEU,0.07830321446051661
189,BLEU,0.09827329289908573
190,BLEU,0.46490167728825793
191,BLEU,0.033241378434410024
192,BLEU,0.1567170974967787
193,BLEU,0.5861137788133826
194,BLEU,0.39381034694588474
195,BLEU,0.23251438921277456
196,BLEU,0.1290476297509318
197,BLEU,0.02984745896009824
198,BLEU,0.5611766115961592
199,BLEU,0.3514827822664303
200,BLEU,0.38538569180303145
201,BLEU,0.3282548534127251
202,BLEU,0.03266828640925502
203,BLEU,0.059091586764651406
204,BLEU,0.3258068375319779
205,BLEU,0.0664462779761476
206,BLEU,0.19285765456537524
207,BLEU,0.4550652610229045
208,BLEU,0.5448053609858732
209,BLEU,0.09528070628428423
210,BLEU,0.010929637020896287
211,BLEU,0.37466030181700494
212,BLEU,0.5739639045571665
213,BLEU,0.2491671393077868
214,BLEU,0.13963043746641254
215,BLEU,0.5475182535069453
216,BLEU,0.5798983074793581
217,BLEU,0.5154025844565837
218,BLEU,0.1549360673079918
