Sentence,Metric,Arabic,Spanish
1,BLEU,0.045481915593589696,0.194086232706272
2,BLEU,0.2711012484196632,0.24422341719224863
3,BLEU,0.31524113667202636,0.3244491454800852
4,BLEU,0.17923344640485428,0.29108736587772466
5,BLEU,0.5199302229930708,0.8083060112213474
6,BLEU,0.3939835969086694,0.10985970458010323
7,BLEU,0.2192808951418676,0.25091209517279955
8,BLEU,0.3430930008428101,0.27565521067494314
9,BLEU,0.36011871611297797,0.4232580476586998
10,BLEU,0.3150313540535726,0.36843249402856854
11,BLEU,0.4555080608269733,0.4974809063622614
12,BLEU,0.4314383562791655,0.6864306036549238
13,BLEU,0.41986368208240515,0.40883025671722123
14,BLEU,0.36781079187489796,0.3592037882363834
15,BLEU,0.629666650211481,0.6252720851199065
16,BLEU,0.6212785448329633,0.464396354608828
17,BLEU,0.5422125841114872,0.5485410788232188
18,BLEU,0.8107694876693636,0.4836299098607122
19,BLEU,0.6493753930680446,0.5340550982815581
20,BLEU,0.4413456346559482,0.4085040051463662
21,BLEU,0.5202734691153391,0.5777966168512882
22,BLEU,0.4935981301395631,0.8686337508250055
23,BLEU,1.0,0.44632361378533286
24,BLEU,0.31327681146619374,0.03903594390682205
25,BLEU,0.34473671665029687,0.4215750458208879
26,BLEU,0.03621439574176347,0.2715124762311623
27,BLEU,0.4183007445500922,0.2719326877457978
28,BLEU,0.3263884929354328,0.4180752426347793
29,BLEU,0.41339014305523786,0.7269720961745919
30,BLEU,0.792229766930906,0.6930888738610387
31,BLEU,0.5974854142533134,0.4513151393587303
32,BLEU,0.1306886997553758,0.42954623296932415
33,BLEU,0.3479788055625683,0.48475915984420864
34,BLEU,0.5963731192437759,0.7216597075217096
35,BLEU,0.6198466720959571,0.6567939165466561
36,BLEU,0.48195898713621915,0.46946121624880416
37,BLEU,0.33444651578578083,0.2260280914695564
38,BLEU,0.40704222620743263,0.5986059674860851
39,BLEU,0.42688103253516035,0.5200941794810502
40,BLEU,0.0053873487594620195,0.3766131304166064
41,BLEU,0.3374253359232608,0.6371365704657016
42,BLEU,0.3357825043105124,0.5572806310452209
43,BLEU,0.5693976802105483,0.2724690113780335
44,BLEU,0.14962848372546667,0.4426623526629488
45,BLEU,0.4560103653054187,0.7373283675453252
46,BLEU,0.4430084189185526,0.6799833983143685
47,BLEU,0.4735806956177401,0.5962533303976288
48,BLEU,0.5068522893556973,0.584491004431611
49,BLEU,0.25906877381718735,0.5964173153029366
50,BLEU,0.5665274476125255,0.4984305084127204
51,BLEU,0.05777116779858033,0.4428500142691474
52,BLEU,0.15295894836827187,0.2799150916739206
53,BLEU,0.41308110687884825,0.35801463404384154
54,BLEU,0.49853470970468533,0.5615155647762222
55,BLEU,0.7984181738524184,0.4929532720652868
56,BLEU,0.17537670874647399,0.07575731225158963
57,BLEU,0.4165767636794606,0.5728668995816387
58,BLEU,0.18879521773374403,0.18107197870881736
59,BLEU,0.33737527865108086,0.48556858875604264
60,BLEU,0.32743129582216096,0.21996658526329102
61,BLEU,0.28023229688079576,0.40534194581550487
62,BLEU,0.7228204707160479,0.09613490848140607
63,BLEU,0.5799859608175345,0.6618470281764041
64,BLEU,0.3005103389361458,0.3231349517347375
65,BLEU,0.2792180096174905,0.2864900351806976
66,BLEU,0.6561132772669468,0.875472216942479
67,BLEU,0.2161733258632119,0.4037709936156017
68,BLEU,0.26104325674743784,0.4849729908008034
69,BLEU,0.23391171757581536,0.3603290345760383
70,BLEU,0.22437886266612994,0.3076779024105567
71,BLEU,0.5873949094699213,0.7506238537503395
72,BLEU,0.3681717551575883,0.5328066964481591
73,BLEU,0.4325414791901156,0.3167547106329247
74,BLEU,0.44651754110190417,0.803154665668484
75,BLEU,0.5193071778680676,0.317023313852343
76,BLEU,0.30391990591506657,0.5089746214777001
77,BLEU,0.5036305636774719,0.6031605488647602
78,BLEU,0.766185035460935,0.3675058901988579
79,BLEU,0.0979075466520653,0.21337425936134957
80,BLEU,0.5416440163262782,0.5920515363228747
